	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA4168	PA4168	9.33763945126895e-07	5508.0	3.34585486705	3.34585486705	0.022137769036827005	5446.0	0.88204	0.5896099508714779	25	4.178719954451816	fpvB
PA4227	PA4227	4.97351912848405e-07	5507.0	3.3306675519	3.3306675519	0.008581338223438591	5516.0	1.1999000000000002	0.53090533917702	25	4.013460394282336	pchR
PA3038	PA3038	3.26762912434471e-07	5506.0	3.3216924921	-3.3216924921	0.0572037268603532	4856.0	0.5124200000000001	0.43245687838981917	25	6.496075406546558	opdQ
PA3407	PA3407	2.53280999986825e-06	5505.0	3.3100132218000002	3.3100132218000002	0.0065210309210073205	5526.0	1.5439999999999998	0.9705674779048942	25	1.8195676879800127	hasAp
PA5445	PA5445	2.61718073438276e-07	5504.0	3.29852851095	-3.29852851095	0.0273598990355466	5233.0	0.6382400000000001	0.43127268346140346	25	6.168460496033436	
PA5535	PA5535	3.00503420332367e-07	5503.0	3.27864838165	3.27864838165	0.116935205659809	4525.0	0.7387800000000001	0.9216939916082053	25	2.7556525319410454	
PA2404	PA2404	4.4994079466242507e-07	5502.0	3.2732105266500002	3.2732105266500002	0.008581338223438591	5508.0	1.1743200000000005	0.49052407942933834	25	4.27887358576115	fpvH
PA0518	PA0518	2.32337984686193e-06	5501.0	3.26022427125	-3.26022427125	0.0422261492817978	5301.0	0.7972200000000003	0.48821641973616564	25	5.04490257124293	nirM
PA2402	PA2402	1.5857953756765699e-06	5500.0	3.25438774565	3.25438774565	0.00845764756271116	5532.0	1.57258	0.696347998489261	25	2.4151828529682153	
PA1708	PA1708	4.4994079466242507e-07	5499.0	3.2305288896	3.2305288896	0.00695250696179817	5504.0	1.2615199999999998	0.7108975764248091	25	2.769750460400198	popB
PA1863	PA1863	1.9089493725988498e-06	5498.0	3.2155975277	3.2155975277	0.0593615780431366	4473.0	0.6307400000000001	0.6339137546491109	25	4.07761703976717	modA
PA0519	PA0519	9.80308661974654e-07	5497.0	3.2056966318	-3.2056966318	0.0321232073388826	5441.0	0.9810799999999995	0.5380622965791227	25	4.134496406723915	nirS
PA3785	PA3785	2.59388354250791e-07	5496.0	3.20553734795	3.20553734795	0.0167858671521584	5255.0	0.7951800000000001	0.5555341251144403	25	4.33881059503494	
PA4836	PA4836	3.6150216857331603e-07	5495.0	3.1853619177	3.1853619177	0.0247667029075012	4927.5	0.7123800000000002	0.7217045546251364	25	3.4265848841490287	
PA4066	PA4066	6.051026483316361e-07	5494.0	3.1767441879500002	3.1767441879500002	0.0639310408106948	4601.0	0.6307200000000001	0.6998891739649451	25	3.6377533510434343	
PA2247	PA2247	2.80064624820473e-07	5493.0	3.1728370631000002	-3.1728370631000002	0.0610041078008102	5251.0	0.7958000000000003	0.6063378115099424	25	3.9203180437989604	bkdA1
PA2405	PA2405	4.4994079466242507e-07	5492.0	3.15963674615	3.15963674615	0.0131199592732245	5517.0	1.1776799999999994	0.5113175155093624	25	3.8761761254660363	fpvJ
PA5536	PA5536	0.000101140252611973	5491.0	3.1511708770999998	3.1511708770999998	0.174048400645828	3467.5	0.5691999999999999	0.8038241152972047	25	3.2121092512201455	dksA2
PA3530	PA3530	4.386682941771e-06	5490.0	3.1173119992	3.1173119992	0.0195384539073475	5512.0	1.2018800000000003	0.5783662204866394	25	3.3117978390721854	bfd
PA5538	PA5538	1.82475550085775e-05	5489.0	3.11053047035	3.11053047035	0.23232093912826698	3876.0	0.5995000000000001	0.7703672014046288	25	3.2595241149565797	amiA
PA0493	PA0493	3.86168002042835e-07	5488.0	3.0984678478	-3.0984678478	0.0199333163183121	4965.0	0.6321399999999997	0.37266658802921065	25	6.618054655349684	
PA4467	PA4467	2.78564966251631e-06	5487.0	3.0783505049	3.0783505049	0.007948284563006459	5524.0	1.3461800000000002	0.6933068837102366	25	2.4984181544978714	
PA3875	PA3875	2.26645632857076e-06	5486.0	3.0724706296499997	-3.0724706296499997	0.0166990923480166	5121.0	0.69112	0.35160673699461453	25	6.772767353676942	narG
PA2000	PA2000	4.4994079466242507e-07	5485.0	3.0468697150999997	-3.0468697150999997	0.0294496590139175	5483.0	1.0749600000000001	0.638351390954334	25	3.089066215007378	dchB
PA2385	PA2385	1.98771272026301e-06	5484.0	3.0418980560000004	3.0418980560000004	0.0117985087110647	5498.0	1.2453199999999998	0.6043119344896866	25	2.9729316160488004	pvdQ
PA1041	PA1041	1.23770033037333e-06	5483.0	3.0372511827999995	3.0372511827999995	0.004248162123030279	5500.0	1.27282	0.5673098962060625	25	3.1101716973382563	
PA1871	PA1871	6.201143672324031e-06	5482.0	3.03065139455	3.03065139455	0.0086387098049619	5503.0	1.1111600000000004	0.5909272501755185	25	3.2482702295077237	lasA
PA0782	PA0782	4.4994079466242507e-07	5481.0	2.9962074631	-2.9962074631	0.0202204329472529	5433.0	0.8675800000000001	0.4206636790041819	25	5.060164614494418	putA
PA3874	PA3874	1.5857953756765699e-06	5480.0	2.97099312685	-2.97099312685	0.0149660623347018	5412.0	0.82978	0.39460877461100635	25	5.42616704091475	narH
PA4552	PA4552	3.86168002042835e-07	5479.0	2.96988644195	2.96988644195	0.0314550326989968	5127.0	0.8322200000000001	0.7399979459430952	25	2.888746453512972	pilW
PA2366	PA2366	1.8542467140258e-06	5478.0	2.9579751567000003	2.9579751567000003	0.00371799294161672	5502.0	1.1831999999999998	0.6487820640759631	25	2.735549046393181	hsiC3
PA1922	PA1922	4.11374865534452e-07	5477.0	2.9309628346	2.9309628346	0.10614801296159698	965.5	0.4797800000000001	0.6288502915373947	25	3.8978797777248704	
PA1709	PA1709	4.66117880383397e-06	5476.0	2.9271662623	2.9271662623	0.00693901780886272	5487.0	1.2727000000000002	0.7510326363303617	25	2.202921926780608	popD
PA1183	PA1183	9.845304745738278e-07	5475.0	2.9269558662999904	2.9269558662999904	0.074156902412465	5210.0	0.8253	0.8399879339411173	25	2.5020072091265484	dctA
PA4708	PA4708	2.0673397950306704e-06	5474.0	2.9241996953500005	2.9241996953500005	0.00620300958380637	5501.0	1.0674	0.5594026762240837	25	3.319254222885072	phuT
PA2009	PA2009	5.35658708858291e-07	5473.0	2.9135794246	-2.9135794246	0.0396990900760403	5459.0	0.9893000000000001	0.6873158086595516	25	2.7997019715767286	hmgA
PA3334	PA3334	3.02161158692286e-06	5472.0	2.9110140625	2.9110140625	0.0908698513698097	4849.0	0.5705599999999997	0.42424796994210845	25	5.516712461392263	
PA2367	PA2367	1.13824072898757e-06	5471.0	2.9081033252	2.9081033252	0.00547137489324851	5474.0	1.0023	0.6125633130542509	25	3.1111940342911373	hcp3
PA4306	PA4306	2.75884095092289e-06	5470.0	2.88834641885	2.88834641885	0.0086387098049619	5507.0	1.1472199999999992	0.552736772041328	25	3.1500101077404294	flp
PA3841	PA3841	8.386549031176009e-07	5469.0	2.8619140002499996	2.8619140002499996	0.0301418482478553	5315.0	0.9689	0.7799262785674043	25	2.427170429142551	exoS
PA4065	PA4065	4.85930883047751e-07	5468.0	2.8491774139999997	2.8491774139999997	0.0829512586053942	3984.0	0.49634	0.5462939097531045	25	4.306907640730162	
PA4709	PA4709	7.801880369350441e-07	5467.0	2.8430995531	2.8430995531	0.008581338223438591	5488.0	0.9745799999999999	0.5043823921391389	25	3.704569354959858	phuS
PA3479	PA3479	3.1747188937512e-05	5466.0	2.8216996822000002	2.8216996822000002	0.0243536555597339	5451.0	1.0787800000000003	0.90214477173382	25	1.9319733781201278	rhlA
PA0931	PA0931	1.63605342933891e-06	5465.0	2.7921082641000003	2.7921082641000003	0.0748152285513326	4719.0	0.5678400000000005	0.47933249420417956	25	4.640345253022918	pirA
PA0434	PA0434	1.98771272026301e-06	5464.0	2.777866926	2.777866926	0.135492885583433	1070.5	0.44449999999999973	0.5505853703105453	25	4.237974802497781	
PA1245	PA1245	1.2084657172222802e-05	5463.0	2.76600458925	2.76600458925	0.004191895909449139	5515.0	1.5268000000000002	0.7189081130436631	25	1.72373154060474	aprX
PA5508	PA5508	7.276963917877159e-07	5462.0	2.75457891135	-2.75457891135	0.0186463158978925	5167.5	0.65864	0.3780001521163713	25	5.544809703422403	pauA7
PA5506	PA5506	9.845304745738278e-07	5461.0	2.7500071736000002	-2.7500071736000002	0.0086387098049619	5425.0	0.8585599999999998	0.4348750376065907	25	4.349403874754238	
PA4835	PA4835	1.5857953756765699e-06	5460.0	2.7496684188	2.7496684188	0.0593062970496191	4117.0	0.4907400000000003	0.5280863471062283	25	4.277573982319979	
PA3790	PA3790	3.0913420484515805e-05	5459.0	2.7457850257	2.7457850257	0.0760971119814357	4769.0	0.9224800000000001	0.9773657461087258	25	1.8655299031701165	oprC
PA4064	PA4064	1.0197222625445999e-06	5458.0	2.7366688641500003	2.7366688641500003	0.0539717599035811	4338.0	0.5176200000000002	0.5767576809198123	25	3.847454377393058	
PA1249	PA1249	1.60815229537691e-06	5457.0	2.7310196421499997	2.7310196421499997	0.0038899580884135796	5522.0	1.40698	0.6730861212851345	25	1.9671177287417383	aprA
PA3190	PA3190	3.1709830304058498e-06	5456.0	2.72187517005	-2.72187517005	0.128582681923024	4606.0	0.4659599999999996	0.3713501245455562	25	6.0749008036841285	
PA3531	PA3531	7.47125204627497e-07	5455.0	2.7061098074000003	-2.7061098074000003	0.0225308645379508	5309.5	0.8965599999999998	0.5429704243019751	25	3.3326857714695937	bfrB
PA2248	PA2248	3.03404361474273e-06	5454.0	2.7038111827999995	-2.7038111827999995	0.0626227201779229	5284.0	0.7432399999999997	0.5621446862982282	25	3.487662928401106	bkdA2
PA5303	PA5303	1.2243194880624e-06	5453.0	2.6975011858499998	-2.6975011858499998	0.0244160974977523	5177.0	0.7263600000000001	0.5302775908270434	25	3.717187412682713	
PA5507	PA5507	7.47125204627497e-07	5452.0	2.6973192938499997	-2.6973192938499997	0.0163847700441294	5381.0	0.81316	0.4620160467992424	25	4.078125222929138	
PA0517	PA0517	3.1709830304058498e-06	5451.0	2.6971320866500004	-2.6971320866500004	0.0925415945636087	4953.0	0.6101199999999998	0.4175428441090407	25	4.998318414732502	nirC
PA2384	PA2384	0.000253609377536707	5450.0	2.6957861765	2.6957861765	0.007705612129027009	5528.0	1.7863599999999993	0.8035808987484292	25	1.131717015569216	
PA3877	PA3877	6.20228399595783e-06	5449.0	2.6929640764999996	-2.6929640764999996	0.009025154243110359	5358.0	0.7977199999999995	0.39516407668207915	25	4.796094048864615	narK1
PA4554	PA4554	2.8298313026929602e-05	5448.0	2.6908253215499998	2.6908253215499998	0.0379194837478738	5066.0	0.7134799999999999	0.671169555701091	25	2.9461189125071416	pilY1
PA4550	PA4550	1.5857953756765699e-06	5447.0	2.6828611244	2.6828611244	0.0494151711581361	5063.0	0.7140800000000002	0.647719616552306	25	3.039557663668525	fimU
PA4514	PA4514	0.000193515514451358	5446.0	2.6554041925	2.6554041925	0.0910906999293526	4734.5	0.7311000000000001	0.8339677002138631	25	2.3074085387318117	
PA4170	PA4170	6.1508583558564796e-06	5445.0	2.63627267735	2.63627267735	0.12001239898897	4040.0	0.5743000000000003	0.6508819177341872	25	3.1679673703765205	
PA2365	PA2365	8.388559067221401e-06	5444.0	2.63488248735	2.63488248735	0.00414873506846581	5510.0	1.15022	0.7209643437785258	25	2.0592731113011546	hsiB3
PA5541	PA5541	2.62053426482903e-06	5443.0	2.6194278579	2.6194278579	0.30471005023071396	2562.0	0.45371999999999946	0.6056563086162536	25	3.575803350992917	pyrQ
PA1707	PA1707	1.23770033037333e-06	5442.0	2.6037965257	2.6037965257	0.0090908007428948	5447.0	1.11484	0.7922212012226548	25	1.8794706874823042	pcrH
PA4811	PA4811	1.17876689610714e-06	5441.0	2.60011493435	-2.60011493435	0.0163578042105088	5395.0	0.7835599999999997	0.41334726925431625	25	4.394742797326541	fdnH
PA4553	PA4553	1.9089493725988498e-06	5440.0	2.5984780484	2.5984780484	0.0827253155611304	4298.5	0.6513400000000001	0.6601257569584753	25	2.9496471359812175	pilX
PA5540	PA5540	1.13824072898757e-06	5439.0	2.5834204066499997	2.5834204066499997	0.108710228451935	3285.5	0.5895199999999999	0.6850141646953978	25	2.9107433238794687	
PA1888	PA1888	6.15990337154545e-06	5438.0	2.5692602468	2.5692602468	0.0177046845848013	5432.0	0.8420800000000002	0.5156875806467839	25	3.3492764061405973	
PA3915	PA3915	1.37359911699913e-06	5437.0	2.5676574924	-2.5676574924	0.0119456469588115	5226.5	0.7049400000000001	0.3287217769887882	25	5.666547283429695	moaB1
PA0132	PA0132	1.9798979053411097e-06	5436.0	2.5676515125	-2.5676515125	0.0486301286768592	4736.0	0.4983199999999998	0.30061204511241196	25	6.883727868343356	bauA
PA1912	PA1912	1.27772418283101e-06	5435.0	2.56123765885	2.56123765885	0.0108689745746009	5452.0	0.8425000000000002	0.42743374242877297	25	4.021062186349053	femI
PA3187	PA3187	4.386682941771e-06	5434.0	2.56045528195	-2.56045528195	0.0698867885222749	4670.0	0.4368799999999996	0.2941272145404658	25	7.219921098657263	
PA3784	PA3784	1.5857953756765699e-06	5433.0	2.55731813065	2.55731813065	0.0138981277720493	5331.0	0.7391400000000001	0.47294829967626106	25	3.8443485934817088	
PA3444	PA3444	1.7968582265695598e-06	5432.0	2.55412106175	2.55412106175	0.0273426306527314	5344.0	0.9041999999999999	0.7325236059905056	25	2.252379374885818	
PA1864	PA1864	1.1807414923283101e-06	5431.0	2.5525323263	2.5525323263	0.0545789946123009	4646.5	0.5752000000000002	0.4920192662216931	25	4.01881077032674	
PA4141	PA4141	0.000334216858312071	5430.0	2.548590929	2.548590929	0.0230977090174259	5491.0	1.0071799999999997	0.5972637761771038	25	2.5807875690471023	
PA2403	PA2403	2.75781601249875e-05	5429.0	2.5428591856000002	2.5428591856000002	0.01488759629891	5454.0	0.9517199999999997	0.41104222410842417	25	3.870987193715388	fpvG
PA3331	PA3331	7.98277497993821e-06	5428.0	2.5426476867	2.5426476867	0.0816411862762143	4767.0	0.5260000000000002	0.38648161879533977	25	5.217965327784217	
PA2445	PA2445	1.35101525834284e-05	5427.0	2.5406626494999998	-2.5406626494999998	0.0980143726146651	4306.0	0.5378400000000003	0.5402996414028055	25	3.7068739196272213	gcvP2
PA1301	PA1301	2.26645632857076e-06	5426.0	2.5254329117500003	2.5254329117500003	0.0135052174034933	5461.0	0.8639399999999998	0.44221057672410674	25	3.7572437187240744	
PA2381	PA2381	4.1561733511328206e-05	5425.0	2.52135250095	2.52135250095	0.0038899580884135796	5494.0	1.2387799999999993	0.7474116458373755	25	1.7160188874405997	
PA4880	PA4880	6.15990337154545e-06	5424.0	2.5171059526499997	-2.5171059526499997	0.0219913844926205	5025.0	0.6855800000000002	0.44575793786164525	25	4.108790437778968	
PA2331	PA2331	8.881933287640089e-06	5423.0	2.4822676287	2.4822676287	0.0252242209843426	5437.0	0.8246799999999994	0.5802118844295882	25	2.856866040118414	
PA1924	PA1924	1.63605342933891e-06	5422.0	2.48015712015	2.48015712015	0.16139985839459198	3972.0	0.4441800000000001	0.4837696998572773	25	4.208566846478102	
PA3195	PA3195	2.89638724117095e-06	5421.0	2.4675014455	-2.4675014455	0.133687150115879	4196.0	0.5000400000000002	0.4549906574132411	25	4.324179878078399	gapA
PA5534	PA5534	1.33143006260946e-06	5420.0	2.4639848371	2.4639848371	0.0840106410544051	4430.0	0.4981999999999998	0.5512051569062104	25	3.566339705770361	
PA2911	PA2911	1.6504435645556299e-06	5419.0	2.4592922999	2.4592922999	0.0517498461060579	4392.0	0.4737799999999999	0.43719289411730694	25	4.541501764132631	
PA3899	PA3899	1.98783383096932e-06	5418.0	2.45411088345	2.45411088345	0.0232768655941737	5356.0	0.7429399999999998	0.4111071514824329	25	4.162347644110785	fecI
PA3333	PA3333	9.83103440889477e-06	5417.0	2.4474453449	2.4474453449	0.0866726613325436	4683.0	0.4510400000000001	0.34189657671094986	25	5.8392083480491355	fabH2
PA3872	PA3872	2.243074093296e-06	5416.0	2.4383083733	-2.4383083733	0.0198947414540662	5265.0	0.76196	0.40771246812756023	25	4.1115945779110294	narI
PA2407	PA2407	0.000173792070101351	5415.0	2.4343945267	2.4343945267	0.0244332160068911	5165.0	0.6589800000000002	0.44171388458292016	25	4.019376770047427	fpvC
PA2392	PA2392	3.58092662343705e-05	5414.0	2.431787826	2.431787826	0.00915547249898032	5481.0	1.0142400000000003	0.474018528118891	25	2.990490332994868	pvdP
PA2007	PA2007	3.26513459505221e-06	5413.0	2.42904645965	-2.42904645965	0.102829332899564	4994.0	0.6957399999999998	0.5282571209490066	25	3.281179544794662	maiA
PA4551	PA4551	4.27211583609358e-06	5412.0	2.42710995765	2.42710995765	0.0615532649816772	4664.5	0.6121800000000003	0.5640675173830404	25	3.2175757364477664	pilV
PA0433	PA0433	3.646855340497e-05	5411.0	2.4242577935	2.4242577935	0.0958155122465137	3736.5	0.47848000000000035	0.4753676533309067	25	4.0932061318558635	
PA3873	PA3873	6.62268267496613e-06	5410.0	2.41363307075	-2.41363307075	0.0296822887947695	5231.0	0.6541	0.3193199805837398	25	5.510250462665842	narJ
PA3186	PA3186	1.63605342933891e-06	5409.0	2.4085345077	-2.4085345077	0.12434972405357599	3729.0	0.35301999999999967	0.21921719062762138	25	9.376611851538826	oprB
PA4290	PA4290	1.5857953756765699e-06	5408.0	2.4050407430500003	-2.4050407430500003	0.0363980865420831	3855.5	0.40218000000000026	0.38432518999756793	25	5.2113699418523005	
PA4556	PA4556	3.6899915725505097e-06	5407.0	2.38961381925	2.38961381925	0.0586772084542052	4364.5	0.62172	0.5872374604876635	25	3.0105263001816613	pilE
PA3330	PA3330	5.622300314831421e-05	5406.0	2.3746627329	2.3746627329	0.129733241837721	3953.0	0.4526399999999999	0.40446975371054217	25	4.751956642660334	
PA4333	PA4333	3.5792786831446402e-06	5405.0	2.3679829227	-2.3679829227	0.00903260688288527	5443.0	0.8591400000000003	0.46388721060907334	25	3.2526072894290903	
PA4211	PA4211	3.4244214615061894e-05	5404.0	2.36750629785	2.36750629785	0.0738589128901331	5086.0	0.7040799999999998	0.5417254201468982	25	3.0706077949949875	phzB1
PA3441	PA3441	1.8542467140258e-06	5403.0	2.3674672678	2.3674672678	0.00640557080705136	5457.0	1.0944800000000001	0.6226084490539245	25	2.044603265076709	
PA0492	PA0492	2.0673397950306704e-06	5402.0	2.36631331775	-2.36631331775	0.0242734752170742	5275.0	0.7593800000000002	0.42989800825312036	25	3.7379408299185486	
PA5539	PA5539	7.98277497993821e-06	5401.0	2.33272328925	2.33272328925	0.21913671481678101	2131.0	0.37414000000000025	0.5104756466603801	25	3.8367810532459092	
PA5351	PA5351	2.75884095092289e-06	5400.0	2.3150751872999997	-2.3150751872999997	0.0172209198598968	5099.5	0.6913600000000002	0.4977016032055084	25	3.262427078478876	rubA1
PA3335	PA3335	3.0165252126697602e-05	5399.0	2.3150287063	2.3150287063	0.184080260138546	4176.0	0.4320200000000003	0.36016409685956546	25	5.228196599046959	
PA5530	PA5530	1.58164055584025e-05	5398.0	2.3120110386	2.3120110386	0.15865758886917802	4096.0	0.35505999999999993	0.24886912223094257	25	7.863374214756993	
PA1911	PA1911	2.53280999986825e-06	5397.0	2.30122306235	2.30122306235	0.0177948667214492	5191.0	0.6237399999999999	0.3617165706737803	25	4.6375621089885435	femR
PA2250	PA2250	5.44567515481049e-06	5396.0	2.3008381142500003	-2.3008381142500003	0.0574582873239972	5184.0	0.76022	0.5791781907726383	25	2.6600071252592867	lpdV
PA3450	PA3450	3.6182939632414005e-05	5395.0	2.2931166746000002	2.2931166746000002	0.0195300009854966	5394.0	0.9261000000000001	0.6767577884048815	25	2.019949674789941	lsfA
PA3478	PA3478	0.000242492637011977	5394.0	2.29154152595	2.29154152595	0.0227083189642179	5318.0	0.8715999999999999	0.6524175235230888	25	2.176430697756617	rhlB
PA2664	PA2664	4.386682941771e-06	5393.0	2.2897356406	-2.2897356406	0.21031286967611898	1801.5	0.2262800000000004	0.1944738671390063	25	10.610452041482159	fhp
PA3584	PA3584	6.6481834309362505e-06	5392.0	2.26270936245	-2.26270936245	0.0298277403671037	5252.0	0.8649999999999999	1.0356604977822927	25	1.3495825759918227	glpD
PA0277	PA0277	1.3712336999363301e-05	5391.0	2.25982926645	-2.25982926645	0.00701278362093278	5450.0	0.9488599999999998	0.584461941304422	25	2.243036156510268	
