	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA5507	PA5507	8.316037367893371e-07	5451.5	2.697	0.0109638248492061	5333.5	0.8157599999999994	0.4522849654808352	25	4.15941307710728	
PA5303	PA5303	1.33268914500871e-06	5451.5	2.697	0.0689131921184823	5134.0	0.6073799999999996	0.4278695595622576	25	4.883778135882902	
PA2384	PA2384	0.00027073231139306697	5450.0	2.6955	0.0159678932156194	5538.0	1.8705000000000007	1.0372781690559187	25	0.7953507791944325	
PA3877	PA3877	6.6814481419607905e-06	5449.0	2.6935	0.014177178729806002	5416.0	1.03276	0.3752576092943799	25	4.425599798290012	narK1
PA4554	PA4554	3.06974154610875e-05	5448.0	2.6910000000000003	0.0832134373558223	3771.0	0.4707999999999998	0.46795129732341456	25	4.744510834138273	pilY1
PA4550	PA4550	1.72818432904211e-06	5447.0	2.6830000000000003	0.107139791467507	4177.0	0.5553800000000002	0.5246381348129393	25	4.0554047805895905	fimU
PA4514	PA4514	0.000207580560772529	5446.0	2.6555	0.0578875402293658	4907.5	0.6457599999999997	0.5388382588186058	25	3.7297648544970117	
PA4170	PA4170	6.57964630371421e-06	5445.0	2.6365	0.168349274972445	2620.5	0.3537199999999999	0.39723384905283887	25	5.746690533656791	
PA2365	PA2365	9.05588569899749e-06	5444.0	2.635	0.00782844955093219	5463.0	1.1170000000000002	0.5587710846133681	25	2.7166760088352695	hsiB3
PA5541	PA5541	2.84417852652189e-06	5443.0	2.6195	0.440447443570845	2533.5	0.28841999999999995	0.3037602769180549	25	7.674077807839414	pyrQ
PA1707	PA1707	1.3521982128884e-06	5442.0	2.6035	0.0164373143844924	5361.0	0.86074	0.5852752934873183	25	2.977675667147843	pcrH
PA4811	PA4811	1.27559822345849e-06	5441.0	2.5995	0.0101494113420212	5394.0	1.0033200000000002	0.5975191049944203	25	2.671345546373626	fdnH
PA4553	PA4553	2.09087709343862e-06	5440.0	2.5985	0.16474835191650697	4104.0	0.45376000000000033	0.4456359949555243	25	4.812762039597027	pilX
PA5540	PA5540	1.23408657392661e-06	5439.0	2.5835	0.49097211509941896	1745.5	0.2982400000000004	0.40327477501905157	25	5.666756617475118	
PA1888	PA1888	6.6814481419607905e-06	5438.0	2.5695	0.00918331322349632	5413.0	0.92468	0.5612132482399181	25	2.9308288875191364	
PA3915	PA3915	1.48722265705393e-06	5436.5	2.5675	0.0260657247443577	5263.0	0.68074	0.3288616768490969	25	5.737244965961078	moaB1
PA0132	PA0132	2.14630123018982e-06	5436.5	2.5675	0.0291710400593675	5277.0	0.71034	0.31835647996127436	25	5.833586299942471	bauA
PA1912	PA1912	1.3826796579186501e-06	5435.0	2.5615	0.0175040408212347	5352.5	0.9362200000000002	0.5675536149416485	25	2.863658969324156	femI
PA3187	PA3187	4.76512303164373e-06	5434.0	2.5610000000000004	0.0926222418122773	4904.0	0.52992	0.3716420118877839	25	5.4651517724892695	
PA3784	PA3784	1.72818432904211e-06	5433.0	2.5575	0.00923771031503354	5320.0	0.7534400000000001	0.4277647406382784	25	4.217411648533998	
PA3444	PA3444	1.94759106912442e-06	5432.0	2.5545	0.0636853137998915	5281.0	0.9376399999999999	1.0430959180088217	25	1.5500587933336403	
PA1864	PA1864	1.27559822345849e-06	5431.0	2.553	0.0497031845832269	3586.5	0.5032400000000002	0.48975085332578366	25	4.185311747964415	
PA4141	PA4141	0.000355840237087991	5430.0	2.548	0.009901601118195191	5535.0	1.6813200000000001	0.9035316688786651	25	0.9592137496138898	
PA3331	PA3331	8.71327113416721e-06	5428.5	2.543	0.0167181912870321	5398.0	0.8267600000000002	0.5817593667774789	25	2.950085719301287	
PA2403	PA2403	2.9679302079134996e-05	5428.5	2.543	0.017409660355172	5405.0	0.9185199999999999	0.48269120736415577	25	3.3654642454973227	fpvG
PA2445	PA2445	1.45943724075897e-05	5427.0	2.5405	0.0894457621761103	4495.0	0.5522200000000002	0.4765097515616375	25	4.172590368788732	gcvP2
PA1301	PA1301	2.45664294727436e-06	5426.0	2.5255	0.0442035892085724	5315.0	0.8911	0.6437281387873817	25	2.538960007370176	
PA2381	PA2381	4.43334353815169e-05	5425.0	2.522	0.0103991404306881	5489.0	1.3038000000000003	0.7219202835724544	25	1.6874439293652799	
PA4880	PA4880	6.6814481419607905e-06	5424.0	2.517	0.0432083181001807	5142.0	0.7594799999999999	0.558322515069322	25	3.147858007807162	
PA2331	PA2331	9.581649235442849e-06	5423.0	2.4825	0.00893148629013794	5465.0	1.0402400000000005	0.6265387245281278	25	2.3019486961260456	
PA1924	PA1924	1.76932128067825e-06	5422.0	2.48	0.253670240491348	2232.0	0.2765199999999998	0.24182248482444038	25	9.111973196370448	
PA3195	PA3195	3.11497736007393e-06	5421.0	2.4675	0.302865609816371	4340.0	0.4348400000000003	0.33107853172120144	25	6.139510132030204	gapA
PA5534	PA5534	1.43285716403655e-06	5420.0	2.4645	0.45001905570883793	1057.0	0.26758	0.4259172131999365	25	5.158091600699663	
PA2911	PA2911	1.77822285466654e-06	5419.0	2.4595	0.0549679742939131	3989.5	0.5155399999999998	0.4803822462373062	25	4.046694096683362	
PA3899	PA3899	2.1739329631904997e-06	5418.0	2.454	0.0342502195981437	5196.0	0.7821599999999997	0.5164422103843438	25	3.2372257077046296	fecI
PA3333	PA3333	1.0505446881835902e-05	5417.0	2.448	0.0394622594284028	5262.0	0.6207999999999999	0.4078604489691706	25	4.479963685172412	fabH2
PA3872	PA3872	2.42197767176671e-06	5416.0	2.4385	0.0245628340514704	5267.5	0.7951599999999999	0.4473937192227894	25	3.6731405234181733	narI
PA2407	PA2407	0.000184971015912715	5415.0	2.4345	0.0547051252318606	4925.0	0.5801000000000004	0.3973961080165061	25	4.666376853200021	fpvC
PA2392	PA2392	3.858042963691721e-05	5414.0	2.4315	0.0220785507800969	5336.0	0.8161400000000001	0.46158631641330095	25	3.4995838103519925	pvdP
PA2007	PA2007	3.5089802335154703e-06	5413.0	2.4290000000000003	0.12132005003578698	4604.0	0.6099599999999998	0.5981264136172777	25	3.0412300118950224	maiA
PA4551	PA4551	4.5961028948775994e-06	5412.0	2.427	0.0635427858741154	4613.0	0.5731799999999994	0.5859314856135771	25	3.163885275867558	pilV
PA0433	PA0433	3.93374520221912e-05	5411.0	2.424	0.15089360018617903	3109.5	0.3833400000000004	0.32235118401106166	25	6.330549106746799	
PA3873	PA3873	7.14479356917632e-06	5410.0	2.414	0.0250697271340494	5158.5	0.6505399999999996	0.459215928694407	25	3.8401542494696974	narJ
PA3186	PA3186	1.76932128067825e-06	5409.0	2.4085	0.0996202947534605	4328.5	0.4150999999999997	0.3551172634966278	25	5.613357065134429	oprB
PA4290	PA4290	1.72818432904211e-06	5408.0	2.4055	0.0722573218578955	3926.0	0.39870000000000005	0.38825627812052144	25	5.168750933570364	
PA4556	PA4556	3.9826943391212e-06	5407.0	2.39	0.10347688849231901	3577.0	0.42885999999999974	0.39867422268480496	25	4.919154257812383	pilE
PA3330	PA3330	6.0083411976763705e-05	5406.0	2.375	0.0233997934124539	5338.5	0.8286200000000001	0.5182438550849718	25	2.9838848735533077	
PA4333	PA4333	3.85681932005616e-06	5405.0	2.3680000000000003	0.02213015086629	5382.0	0.7776399999999998	0.41258215141552923	25	3.854650509101351	
PA4211	PA4211	3.66769408386989e-05	5403.5	2.3675	0.0109917476371306	5524.0	1.4699	0.9331482331334074	25	0.9619050523044551	phzB1
PA3441	PA3441	2.01530027781199e-06	5403.5	2.3675	0.0188662528148801	5437.0	1.3472799999999998	1.1146195640217338	25	0.9153078170626002	
PA0492	PA0492	2.22889006019515e-06	5402.0	2.3665	0.0175645560516491	5329.0	0.8214000000000002	0.3909384009448716	25	3.9522850563300964	
PA5539	PA5539	8.70614397606422e-06	5401.0	2.333	0.36659507071638703	1352.0	0.22074000000000044	0.2584789691638371	25	8.171883410217184	
PA5351	PA5351	2.97253916089224e-06	5400.0	2.315	0.0697938742769408	4105.0	0.44951999999999953	0.3254602663920744	25	5.731821032041743	rubA1
PA3335	PA3335	3.22877414324375e-05	5399.0	2.3145	0.0220419393376371	5131.5	0.5370799999999997	0.3442695370878274	25	5.162873296996238	
PA5530	PA5530	1.7089701515839002e-05	5398.0	2.312	0.0266618842106504	4744.0	0.4612800000000002	0.3015764510589866	25	6.136818685614181	
PA1911	PA1911	2.74310897169452e-06	5397.0	2.3015	0.0432493192975191	4905.5	0.5903399999999998	0.4507904797870811	25	3.7959098000654783	femR
PA2250	PA2250	5.8444882611517995e-06	5396.0	2.301	0.0655037733270468	5161.0	0.8026800000000002	0.6245627450464846	25	2.3989903526642213	lpdV
PA3450	PA3450	3.89186705351554e-05	5395.0	2.293	0.0214577725243927	5299.0	1.0806	1.0194393271140108	25	1.1892811742237301	lsfA
PA3478	PA3478	0.000257875569482779	5394.0	2.2915	0.0063720157416505396	5531.0	1.8316200000000002	0.9258785273997878	25	0.49669582606210166	rhlB
PA2664	PA2664	4.76512303164373e-06	5393.0	2.29	0.0508584011717866	3739.0	0.3379200000000005	0.246411650833857	25	7.922028010421427	fhp
PA3584	PA3584	7.155180053415809e-06	5392.0	2.263	0.0244867568139587	5303.0	0.8485399999999995	0.6053094408372192	25	2.3367552272828	glpD
PA0277	PA0277	1.4767040834495901e-05	5391.0	2.26	0.0168154390743408	5267.5	0.8821800000000001	0.5247789788726934	25	2.6255243740131715	
PA2034	PA2034	4.65754359615973e-06	5390.0	2.252	0.0152865876353273	5429.0	1.0574600000000003	0.6918112387060501	25	1.7266848717783816	
PA5302	PA5302	6.57964630371421e-06	5389.0	2.25	0.0740365843191326	4975.0	0.5684599999999996	0.3428148771567536	25	4.905096342219445	dadX
PA4296	PA4296	5.36057043482307e-06	5388.0	2.248	0.00402649875947474	5526.0	1.4459799999999996	0.5492448884605119	25	1.460222965839512	pprB
PA3931	PA3931	3.66769408386989e-05	5387.0	2.2395	0.0180352288779756	5342.0	0.9896999999999998	0.8484490016101932	25	1.473040804607136	
PA2444	PA2444	3.85681932005616e-06	5386.0	2.2325	0.055760298472242	4564.5	0.5414	0.43521117958220384	25	3.8856998150264213	glyA2
PA3446	PA3446	5.3563990413932204e-05	5385.0	2.229	0.0591681479573082	4737.0	0.7152800000000004	0.8540843791257783	25	1.7723307403765067	
PA5415	PA5415	8.453670333077608e-06	5384.0	2.228	0.12399851407453301	4919.0	0.5812799999999995	0.4249605148324571	25	3.874995305503215	glyA1
PA3328	PA3328	1.95282443366494e-05	5383.0	2.2265	0.0365939874583252	4985.0	0.6396600000000001	0.4276628520224783	25	3.7104929560648268	
PA0165	PA0165	4.2350134985368104e-05	5382.0	2.2230000000000003	0.0314574607900593	5365.0	0.8256600000000001	0.35097096627309027	25	3.9813549674440334	
PA0871	PA0871	2.96286398721035e-06	5381.0	2.2165	0.128264156392125	4191.0	0.57918	0.5827330699671448	25	2.8097255576937035	phhB
PA2368	PA2368	7.326396867184891e-06	5380.0	2.214	0.0102934801787757	5348.0	0.8062800000000001	0.45924421789138153	25	3.065297166861549	hsiF3
PA1861	PA1861	1.69733587867504e-05	5379.0	2.2030000000000003	0.0319387426062962	4413.0	0.4443799999999997	0.41547072399869556	25	4.232837353915512	modC
PA4555	PA4555	3.22877414324375e-05	5378.0	2.1935	0.13383109989107	4467.5	0.4443200000000001	0.2732463357485333	25	6.401476510959539	pilY2
PA3445	PA3445	1.24481425449616e-05	5377.0	2.1895	0.026557664879522002	5160.0	0.8781399999999999	0.923710898134981	25	1.4196649651397446	
PA3329	PA3329	8.14119266389863e-06	5376.0	2.1835	0.0260474512121929	5317.0	0.6829400000000001	0.4654181211555906	25	3.2241116789227	
PA0515	PA0515	5.82047335623635e-06	5375.0	2.1825	0.0312024856210754	5349.0	0.8636000000000001	0.5756628787754162	25	2.2910978779900506	
PA0046	PA0046	5.8577650855966495e-06	5373.5	2.1815	0.0211103357960478	4741.0	0.6141399999999999	0.5107433414478678	25	3.0687820531478875	
PA0495	PA0495	7.563097276907981e-06	5373.5	2.1815	0.0180249486628288	5055.0	0.6459799999999999	0.2854111610174581	25	5.380027867607025	
PA3188	PA3188	8.170971989729731e-06	5372.0	2.1755	0.10934487072069801	4452.5	0.47968000000000016	0.4300907578639653	25	3.942935227025678	
PA2566	PA2566	3.14319778235818e-05	5371.0	2.1655	0.00696019840552573	5480.5	1.24302	0.6706808959308939	25	1.375438014705359	
PA2222	PA2222	8.453670333077608e-06	5370.0	2.1645	0.0347571351263773	4715.0	0.5364000000000003	0.30116132858209654	25	5.406072577994288	
PA3361	PA3361	0.000728365800826749	5369.0	2.1405	0.0099503584320193	5454.0	1.35452	0.8206014496493816	25	0.9578096655030595	lecB
PA0494	PA0494	4.65754359615973e-06	5368.0	2.1375	0.0171936746285297	4808.0	0.5628399999999997	0.290026102273571	25	5.429373382795323	
