	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA4129	PA4129	0.00265510264515629	5488.0	1.3825594637	-1.3825594637	0.8848119324119309	4884.5	88.02271088680605	0.0	0.2586000000000002	0.25481005997932415	25	4.410969738758354	
PA1073	PA1073	0.00244145864111298	5487.0	1.3810457602000001	-1.3810457602000001	0.695718177360273	4503.0	81.1463590483057	0.0	0.1956	0.16387838478579173	25	7.233691995131126	braD
PA0514	PA0514	0.00244145864111298	5486.0	1.3805947069	-1.3805947069	0.76196221870053	5415.0	97.58471521268926	0.0	0.29704	0.15611640422026954	25	6.9406844995685315	nirL
PA3330	PA3330	0.0188055788585082	5485.0	1.36482541675	1.36482541675	0.750479275321944	4827.5	86.99531362653208	0.0	0.21729999999999972	0.21768564873841967	25	5.271479417225687	
PA3331	PA3331	0.00506779587980941	5484.0	1.3582294863	1.3582294863	0.745089473978855	4023.5	72.50360490266763	0.0	0.2424800000000004	0.25812882281269295	25	4.322452154479569	
PA3392	PA3392	0.00253404313782304	5483.0	1.3460936044999998	-1.3460936044999998	0.76196221870053	5323.0	95.9264599855804	0.0	0.3026800000000002	0.2095206274650142	25	4.980004198747586	nosZ
PA1989	PA1989	0.00505007269415246	5482.0	1.33178103515	1.33178103515	0.839945528358583	2577.0	46.431146359048306	0.0	0.15276000000000026	0.16587414405707293	25	7.107925360231728	pqqE
PA4501	PA4501	0.00475163735251706	5481.0	1.3125462299	-1.3125462299	0.8633952657038629	4822.0	86.89617880317232	0.0	0.2144800000000004	0.2224731013703302	25	4.935725816453429	opdD
PA1984	PA1984	0.0025200078863542	5480.0	1.31177458959999	-1.31177458959999	0.771151254575534	5092.0	91.76279740447008	0.0	0.2790800000000002	0.22732693417190983	25	4.542772695905195	exaC
PA3333	PA3333	0.00896476053848934	5479.0	1.31119730115	1.31119730115	0.8074032105990219	5204.0	93.78154289834174	0.0	0.25074000000000046	0.25111178287766595	25	4.22304875142646	fabH2
PA4770	PA4770	0.0620731349193617	5478.0	1.30854169135	1.30854169135	0.830230993671229	4879.5	87.93258832011536	0.0	0.21495999999999948	0.1671603471720088	25	6.542111869537456	lldP
PA1338	PA1338	0.0035334998705793103	5477.0	1.3051460039	-1.3051460039	0.8421209576329841	4399.0	79.27180966113914	0.0	0.15552000000000007	0.1112853389565158	25	10.3304353895998	ggt
PA2634	PA2634	0.0044277986366023795	5476.0	1.3025199677	1.3025199677	0.586162837516336	5421.5	97.70187454938717	0.0	0.3339599999999996	0.2181040424506923	25	4.440816212377021	aceA
PA5168	PA5168	0.00513690711208909	5475.0	1.29273700795	-1.29273700795	0.83442736780564	4152.5	74.82876712328768	0.0	0.15749999999999978	0.13901626103925088	25	8.166217386824043	dctQ
PA1000	PA1000	0.0101107453829208	5474.0	1.2859171093000001	-1.2859171093000001	0.7607590197030799	5176.0	93.27685652487384	0.0	0.2780999999999993	0.23510440942979646	25	4.286678891919893	pqsE
PA2365	PA2365	0.0166232978960079	5473.0	1.2813378477500001	1.2813378477500001	0.644195439620047	5276.0	95.07930785868781	0.0	0.32152000000000025	0.26037346895053093	25	3.6863120179589353	hsiB3
PA0482	PA0482	0.00328469785064916	5472.0	1.2667020719	1.2667020719	0.7882422795782041	5090.0	91.7267483777938	0.0	0.22376000000000004	0.17581288111701782	25	5.932114104914969	glcB
PA1175	PA1175	0.00791887129786707	5471.0	1.2637445294499998	1.2637445294499998	0.440235408955706	5537.0	99.78370583994233	0.0	0.48283999999999994	0.24288143197865064	25	3.2151676770361006	napD
PA0105	PA0105	0.0044277986366023795	5470.0	1.2567065621	1.2567065621	0.535868279168761	5538.0	99.80173035328046	0.0	0.47185999999999945	0.2648518658294352	25	2.9633416387009417	coxB
PA3049	PA3049	0.0127240004745273	5469.0	1.25610874295	1.25610874295	0.437967700376231	5549.0	100.0	0.0	0.7374799999999998	0.557901377933412	25	0.9296064922282748	rmf
PA1070	PA1070	0.0037120253081155898	5468.0	1.2558422099	-1.2558422099	0.861412953713395	4003.0	72.13410237923576	0.0	0.15369999999999973	0.12877920380765412	25	8.558386581937334	braG
PA1585	PA1585	0.0129113750938629	5467.0	1.2557841562999998	1.2557841562999998	0.8714767675751359	2997.0	54.001441961067044	0.0	0.12333999999999985	0.11694013069372995	25	9.683965201526142	sucA
PA2264	PA2264	0.00681241679532192	5466.0	1.2554513013	1.2554513013	0.87776151591973	3833.5	69.07894736842105	0.0	0.20736000000000043	0.23342127152425501	25	4.4901276325670745	
PA5445	PA5445	0.00591605028737868	5465.0	1.24963908015	1.24963908015	0.874833910943746	2745.0	49.4592645998558	0.0	0.13999999999999974	0.12680505050404506	25	8.750748300160197	
PA3602	PA3602	0.00402377248515522	5464.0	1.24845099325	1.24845099325	0.8309007693424	2292.0	41.29416005767844	0.0	0.12867999999999988	0.0940653451950642	25	11.904182044172808	
PA1203	PA1203	0.0142718858558732	5463.0	1.2480412283	1.2480412283	0.877432466075124	1206.0	21.719538572458543	0.0	0.10462000000000064	0.10505279228400657	25	10.884253558999173	
PA3684	PA3684	0.0043999723954133395	5462.0	1.24013398	1.24013398	0.770192781356557	5217.0	94.01586157173756	0.0	0.2558400000000003	0.15313166448082083	25	6.427762561957125	
PA0291	PA0291	0.00505007269415246	5461.0	1.23072878135	-1.23072878135	0.712173091718182	5243.0	94.4844989185292	0.0	0.2524599999999998	0.18813652622497312	25	5.199781249177469	oprE
PA0567	PA0567	0.00696540261653386	5460.0	1.2183401244	1.2183401244	0.599742763223557	5474.0	98.64816149963951	0.0	0.3787000000000002	0.2527985034238403	25	3.3213809141593877	
PA0459	PA0459	0.00756245770211907	5459.0	1.21450918105	1.21450918105	0.844823698168343	4014.5	72.34138428262438	0.0	0.17360000000000003	0.16529897156364923	25	6.297130412872487	
PA0795	PA0795	0.005672093971557529	5458.0	1.21301488275	-1.21301488275	0.903336847323434	3423.5	61.6888968997837	0.0	0.19448000000000007	0.1965687157204826	25	5.181571640312996	prpC
PA3967	PA3967	0.0202758069511242	5457.0	1.20858885885	1.20858885885	0.7645370252774109	4827.5	86.99531362653208	0.0	0.18912000000000004	0.1389738644493989	25	7.335687633707515	
PA3451	PA3451	0.00681241679532192	5456.0	1.20806296085	1.20806296085	0.440235408955706	5535.0	99.74765681326605	0.0	0.5348199999999996	0.30018150342750943	25	2.242786291503071	
PA1557	PA1557	0.0066671370144961205	5455.0	1.20643400930001	-1.20643400930001	0.76196221870053	5277.0	95.09733237202596	0.0	0.2959000000000003	0.19024140366036688	25	4.78620317018667	ccoN2
PA3723	PA3723	0.00556957986100621	5454.0	1.20029255595	1.20029255595	0.570322683913001	5397.5	97.26928622927181	0.0	0.27586	0.18641175973276683	25	4.959089261724867	
PA2746	PA2746	0.0153994776887026	5453.0	1.19682543245	1.19682543245	0.407384090402175	5548.0	99.98197548666187	0.08	0.68792	0.3806760893463101	25	1.3368463286566883	
PA2248	PA2248	0.0245734024127877	5452.0	1.18915127295	-1.18915127295	0.781154775834751	5432.5	97.90014419610671	0.0	0.3351399999999998	0.317842810993107	25	2.6868981880748626	bkdA2
PA3688	PA3688	0.00513690711208909	5451.0	1.18766146905	1.18766146905	0.504253391801938	5322.0	95.90843547224225	0.0	0.2693200000000001	0.18151921844991134	25	5.059196909793926	
PA3871	PA3871	0.0043999723954133395	5450.0	1.1860615757	-1.1860615757	0.8585588015887199	4507.5	81.22746935832733	0.0	0.17824000000000007	0.1578007129261466	25	6.3866731462213195	
PA2265	PA2265	0.00987356578553525	5449.0	1.176446764	1.176446764	0.901149746521229	3723.0	67.0872386445566	0.0	0.1545199999999998	0.20507262331509105	25	4.983243240760737	
PA1708	PA1708	0.00504131435409972	5448.0	1.1753178647	1.1753178647	0.9420796256503159	3642.5	65.63626532083634	0.0	0.18445999999999937	0.1898980494019536	25	5.217841193316686	popB
PA1176	PA1176	0.0288364813599924	5447.0	1.1720841775	1.1720841775	0.492810665103698	5520.0	99.47728911319395	0.04	0.4682599999999993	0.2645768681624808	25	2.660187878056562	napF
PA2014	PA2014	0.0125908274378647	5446.0	1.17080475465	-1.17080475465	0.760639468265125	5468.0	98.54001441961067	0.0	0.34023999999999993	0.2561416486373638	25	3.2425993940012625	liuB
PA1745	PA1745	0.00648677102689079	5445.0	1.1647145983	1.1647145983	0.4694646493833479	5427.0	97.80100937274693	0.0	0.32876000000000016	0.16628603118321938	25	5.027208794098391	
PA1190	PA1190	0.0139353642678202	5444.0	1.16371617	1.16371617	0.492810665103698	5541.0	99.85580389329488	0.08	0.5726799999999999	0.43148078076163104	25	1.3697856227958263	
PA0179	PA0179	0.00505007269415246	5443.0	1.1622856642000001	1.1622856642000001	0.519046344931793	5483.0	98.81038211968277	0.0	0.3706399999999996	0.18048375503998518	25	4.3862433160514405	
PA1718	PA1718	0.00490410205552577	5442.0	1.1574865799	1.1574865799	0.8479365119556931	5109.0	92.06921413121846	0.0	0.2903199999999999	0.2518657827097599	25	3.4429709767256806	pscE
PA2194	PA2194	0.0146238327008792	5441.0	1.15536652815	-1.15536652815	0.704325220672193	5421.5	97.70187454938717	0.0	0.35294000000000003	0.23642345131846224	25	3.394022562800388	hcnB
PA3181	PA3181	0.0074773258255641595	5440.0	1.15112434315	1.15112434315	0.8275745383324761	4365.5	78.66798846431146	0.0	0.2828799999999999	0.3110679949785898	25	2.7911722104672316	
PA1202	PA1202	0.00631201091424396	5439.0	1.1437938000499999	1.1437938000499999	0.65610453791423	5035.5	90.74441240086517	0.0	0.2376600000000001	0.19541396870916497	25	4.636996045040161	
PA0176	PA0176	0.0124844512707038	5438.0	1.1433826094	1.1433826094	0.696839824359277	5110.5	92.09625090122567	0.0	0.2118799999999997	0.15039824079201625	25	6.1935738376631875	aer2
PA0586	PA0586	0.00513690711208909	5437.0	1.1426871023	1.1426871023	0.5526977042469821	5503.0	99.17087238644557	0.0	0.3955400000000002	0.2147582419838637	25	3.4790148000752317	
PA0515	PA0515	0.00513690711208909	5436.0	1.1352331243	-1.1352331243	0.753121040477217	5485.0	98.84643114635905	0.0	0.38475999999999977	0.23955697478192262	25	3.1327542225943663	
PA5169	PA5169	0.00681241679532192	5435.0	1.13496744995	-1.13496744995	0.7724935338663979	4027.0	72.56669069935111	0.0	0.19895999999999991	0.18371580861029185	25	5.094866125187468	dctM
PA1072	PA1072	0.00648677102689079	5434.0	1.134390504	-1.134390504	0.7487608585189549	4980.0	89.74405191059842	0.0	0.19306000000000026	0.14934979354968467	25	6.302857751770808	braE
PA2250	PA2250	0.0127240004745273	5433.0	1.1283795835	-1.1283795835	0.8712210133618459	5162.0	93.02451333813987	0.0	0.2677800000000002	0.3101689754526288	25	2.774615295563101	lpdV
PA0059	PA0059	0.0222806313655792	5432.0	1.12430415435	1.12430415435	0.5790470914067021	5417.0	97.62076423936554	0.0	0.30759999999999993	0.20451624833575793	25	3.993346059278393	osmC
PA3278	PA3278	0.00665071844486017	5431.0	1.1215060316	1.1215060316	0.640564014510869	5038.0	90.78947368421053	0.0	0.2556000000000001	0.20587698592444353	25	4.205938938302633	
PA2223	PA2223	0.0066671370144961205	5430.0	1.1198773696	1.1198773696	0.67668180308701	4822.0	86.89617880317232	0.0	0.22113999999999978	0.188496381486047	25	4.767929031393778	
PA5546	PA5546	0.00584898285503005	5429.0	1.11919364125	1.11919364125	0.599742763223557	5488.0	98.90050468637347	0.0	0.36840000000000006	0.24994366031834706	25	3.0038515091510334	
PA1074	PA1074	0.00940996279768731	5428.0	1.1129700854	-1.1129700854	0.861904885183109	3989.5	71.89077144917087	0.0	0.18669999999999995	0.16284885630547125	25	5.687912745684294	braC
PA2572	PA2572	0.0195653499482954	5427.0	1.1070831866	1.1070831866	0.478145738032755	5412.5	97.53965392934391	0.0	0.31761999999999974	0.19278270799011035	25	4.095093355782196	
PA1657	PA1657	0.00840223976711354	5426.0	1.104702529	-1.104702529	0.718890015828977	5459.0	98.37779379956741	0.0	0.38342000000000026	0.26942711908788974	25	2.677096988015933	hsiB2
PA2247	PA2247	0.00692185959798277	5425.0	1.09676515055	-1.09676515055	0.7799837873174259	5213.0	93.94376351838501	0.0	0.3151399999999999	0.3299994166661511	25	2.3685652491341913	bkdA1
PA2111	PA2111	0.0777233693689779	5424.0	1.0951485649500001	1.0951485649500001	0.703310091797319	5250.5	94.61968276856526	0.0	0.35348	0.2904712220398664	25	2.5533288968922645	
PA0315	PA0315	0.0134001227927051	5423.0	1.0872474186	1.0872474186	0.7638445198678059	4815.0	86.77000720980534	0.0	0.22739999999999946	0.18252636795816687	25	4.710812077283369	
PA4880	PA4880	0.00696540261653386	5422.0	1.0865810755	1.0865810755	0.5790470914067021	5436.0	97.96322999279019	0.0	0.3662199999999997	0.22975993268336992	25	3.1352771873097796	
PA4876	PA4876	0.00882234255057388	5421.0	1.0846301714	1.0846301714	0.661224577937583	5246.5	94.5475847152127	0.0	0.25549999999999945	0.21520421502997303	25	3.8527599066055545	osmE
PA3332	PA3332	0.0291353341644076	5420.0	1.08447868765	1.08447868765	0.7966320682513911	4688.0	84.48089401586158	0.0	0.22912000000000002	0.2447660141168841	25	3.494597445385278	
PA1562	PA1562	0.084496052699159	5419.0	1.0664705865000002	1.0664705865000002	0.6846246580259789	5067.0	91.31218457101659	0.0	0.26317999999999975	0.2316658369289696	25	3.467453799613514	acnA
PA4614	PA4614	0.0228483214869359	5418.0	1.06358340565	1.06358340565	0.7607590197030799	4964.0	89.45565969718818	0.0	0.2096799999999998	0.13580231343144797	25	6.287841378203358	mscL
PA2368	PA2368	0.00791887129786707	5417.0	1.0525232786	1.0525232786	0.666700447711956	5009.5	90.27577505407353	0.0	0.23643999999999998	0.17260910317825037	25	4.727927227321524	hsiF3
PA1337	PA1337	0.0121712961671796	5416.0	1.0432701824500001	-1.0432701824500001	0.731052595366472	4857.5	87.53604902667628	0.0	0.19344	0.09809554441121829	25	8.663290341582657	ansB
PA5481	PA5481	0.0133337853058378	5415.0	1.03797040705	1.03797040705	0.589847799608178	5170.0	93.16870944484499	0.0	0.25493999999999967	0.16266660177594344	25	4.813713439028771	
PA1174	PA1174	0.00748365888324696	5414.0	1.03714766265	1.03714766265	0.440235408955706	5462.0	98.43186733958183	0.0	0.3602800000000006	0.24208960462330242	25	2.7959385687098077	napA
PA4661	PA4661	0.0266455364164769	5413.0	1.0367289975	1.0367289975	0.76196221870053	4774.0	86.0310021629416	0.0	0.20417999999999964	0.1585509171633308	25	5.250988214986813	pagL
PA0132	PA0132	0.0205748214789921	5412.0	1.03412979545	-1.03412979545	0.8540457537249521	3523.0	63.48233597692862	0.0	0.14614000000000008	0.10630405683698081	25	8.353301105072108	bauA
PA0743	PA0743	0.0273489592783701	5411.0	1.03227015075	1.03227015075	0.581655029349808	5461.0	98.4138428262437	0.0	0.3560800000000004	0.2318249914626688	25	2.916813008311435	
PA4714	PA4714	0.0375375260244789	5410.0	1.0317789983499999	-1.0317789983499999	0.827304833312133	4286.0	77.23503965392935	0.0	0.1997799999999997	0.1890828786537799	25	4.400181572618383	
PA0484	PA0484	0.0094423353229925	5409.0	1.03172680015	1.03172680015	0.51939465700464	5292.0	95.36770007209806	0.0	0.2855999999999994	0.17247258236214444	25	4.326060350759646	
PA1135	PA1135	0.027971223876824	5408.0	1.0276563304000002	1.0276563304000002	0.4593513256359871	5452.0	98.25162220620044	0.0	0.37531999999999976	0.18935415891920673	25	3.445059427917493	
PA3876	PA3876	0.0177973598659943	5407.0	1.0253540240999999	-1.0253540240999999	0.8267468267671091	5144.0	92.70007209805335	0.0	0.24006000000000022	0.19708222268890674	25	3.984601012642232	narK2
